Name,Age,Value €,Value $,Value £,Wage €,Wage $,Wage £,Ball Control,Dribbling,Marking,Slide Tackle,Stand Tackle,Aggression,Reactions,Att. Position,Interceptions,Vision,Composure,Crossing,Short Pass,Long pass,Acceleration,Stamina,Strength,Balance,Sprint Speed,Agility,Jumping,Heading,Shot Power,Finishing,Long Shots,Curve,FK Acc.,Penalties,Volleys,GK Positioning,GK Diving,GK Handling,GK Kicking,GK Reflexes
Manuel Neuer,35,20500000.0,23000000.0,18500000.0,135000.0,150000.0,120000.0,46,30,17,11,10,29,87,12,30,70,70,15,60,68,54,43,80,35,60,51,77,25,68,13,16,14,11,47,11,88,88,88,91,89
Lionel Messi,33,103500000.0,117000000.0,93000000.0,560000.0,630000.0,500000.0,96,96,32,24,35,44,94,93,40,95,96,85,91,91,91,72,69,95,80,91,68,70,86,95,94,93,94,75,88,14,6,11,15,8
Jan Oblak,28,120000000.0,135500000.0,108000000.0,125000.0,140000.0,110000.0,30,12,27,18,12,34,88,11,19,65,68,13,43,40,43,41,78,49,60,67,78,15,59,11,12,13,14,11,13,90,87,92,78,90
Kalidou Koulibaly,29,76500000.0,86500000.0,69000000.0,140000.0,155000.0,125000.0,74,69,91,87,89,87,85,35,87,52,82,30,74,63,73,70,94,41,77,52,82,84,55,22,15,28,28,33,14,13,7,11,7,5
N'Golo Kanté,30,78000000.0,88000000.0,70000000.0,190000.0,215000.0,170000.0,80,79,89,85,90,90,91,72,91,79,85,68,85,79,79,96,72,92,76,82,77,54,71,65,65,49,49,54,56,7,15,12,10,10
Alisson,28,88000000.0,99000000.0,79000000.0,155000.0,175000.0,140000.0,30,27,15,16,19,27,87,13,11,66,65,17,45,44,56,32,78,37,47,40,52,19,63,13,14,19,18,23,20,90,86,86,84,89
Toni Kroos,31,87500000.0,98500000.0,78500000.0,310000.0,350000.0,280000.0,89,80,71,60,73,60,89,76,79,90,88,88,93,93,56,75,72,71,52,63,32,58,89,76,86,86,84,73,82,7,10,11,13,10
Erling Haaland,20,122500000.0,138000000.0,110000000.0,70000.0,80000.0,65000.0,84,77,45,30,43,83,87,88,41,68,83,47,76,51,82,80,91,68,91,75,74,69,94,92,85,77,62,76,88,11,7,14,13,7
Keylor Navas,34,33500000.0,37500000.0,30000000.0,135000.0,150000.0,120000.0,19,16,28,14,14,32,86,16,20,68,67,11,30,37,54,39,75,61,53,60,74,11,56,15,13,11,15,25,11,87,90,85,75,90
Bruno Fernandes,26,121000000.0,137000000.0,109000000.0,235000.0,260000.0,210000.0,88,83,72,65,73,78,91,87,66,91,87,87,91,88,78,93,70,79,75,79,73,64,89,83,89,87,87,91,87,8,12,14,15,14
